Entry Name,Entry Type,SID,Item Group Name,Attribute 1 Name,Attribute 1 Option,Attribute 2 Name,Attribute 2 Option,Attribute 3 Name,Attribute 3 Option,Quantity,Unit,Min Level,Price,Value,Notes,Tags,Primary Folder,Subfolder-level1,Subfolder-level2,Subfolder-level3,Subfolder-level4,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Web Link,Web Link
Data base,Folder,S0FDOR0776,,,,,,,,,,,,,,,,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_B1RjAhfgAG07hXmOobnt9UbZgdQYsVhF5poOqy7DDrAAi3AGczuNZA==,https://lnk.sortly.co/v2/downloads/photo/v2_FIPie-UbBqs6ecqYk_G0-L7fGMRsRGtCkn8gdl_XNRSJEAmdtWfkqg==,,,,,,,,
2006 2007 2008 2009 Toyota Avalon AKL Keyed,Item,S0FDOT9898,,,,,,,,1.0,units,,,0.0,"2006 2007 2008 2009 Toyota Avalon - AKL, Keyed
TOY44D programmed with Orange Dongle
Sidescrew",,Data base,,,,,,,,,,,,,,
"2019 Subaru Impreza P2S, AKL",Item,S0FDOT9805,,,,,,,,1.0,units,,,0.0,"Reset Smart Box with IM100
Regular programming.",,Data base,,,,,,,,,,,,,,
2021 Kia K5 AKL P2S,Item,S0FDOT10304,,,,,,,,1.0,units,,,0.0,"2021 Kia K5 Kfive - AKL
P2S. 
Xhorse universal key XM38
IM100 for programming.",,Data base,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_rzwovcJZ6Czpm20psvm5gLn8IcMcNj0aKcbICwJasdWvD3yQ055ZxA==,https://lnk.sortly.co/v2/downloads/photo/v2_Wykl4nA575iy9rJC6vdB11f1ikGISmjkKexkpQ8gbo_UaelLrO3WGQ==,,,,,,,,
HU198 Generation SEC-E9,Item,S0FDOT10181,,,,,,,,1.0,units,,,0.0,"HU198R HU198 Set up SEC-E9

See images that were used to do it and you can use 2018 KIA RIO KK12 generation to compare in case any of the steps is not clear. 

Creating key on SEC-E9:
Main screen
My key info 
Creat new 
Add
Name the MAKE FORD
Ok
Next 
Name the MODEL 
Next
Put year range next 
Add new 
Laser 2 track external
Tip
Change top left “6” to “10” spaces
Space location
1-2500
2-2270
3-Autofill Yes (-230 each one)
....
10- 430
Space Width
1-100
2-100
3- Autofill (all 100)
Next 
Set “5” depths
1 - 290 
2- 230
3- Autofill (-60 each one)

Width 550
Thick 300

Next
It will be already filled out (some sections are left with 0 but dont worry complete, look it up use it and it will work)",,Data base,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_kGUz8ART09-D5g_STeV5Lh7emxPxmtDqIpOMz-paTYOxSe3OaLgW_A==,https://lnk.sortly.co/v2/downloads/photo/v2_SKgdxhhMIFMHrunzavByvyDGR6riTmI6FudM_Qrz2y9IACP3QiHKGA==,https://lnk.sortly.co/v2/downloads/photo/v2_zTkz-UifoGtuTCYYnj3JmwybqR-Ai9-WG0fbamocbQyIQ-O0HctWMA==,https://lnk.sortly.co/v2/downloads/photo/v2_lxM1CkMpGwSSHhQQ3z_xKQqncUhjvXfanWvL40AhseBJnF8EyzVq_w==,https://lnk.sortly.co/v2/downloads/photo/v2_4YUzSraLiANDVwafbU7k5MxHUvgtAO1xqscx8xYgbpPCN8heY1Rpig==,,,,,
Liberty Safe Lockout,Item,S0FDOT8126,,,,,,,,1.0,units,,,0.0,"Liberty Safe Lockout
10 seconds job with accurate drilling. 
Small standard drill bit. 

Locking system has 2 parts:
A keypad
A latch / bolt in the opposite side of the keypad 

Both parts made by SecuRam.
Their phone number is: 805-988-8088
They can help identify the correct replacement parts. Each part has a serial on it. 

Liberty safe phone number: 800-247-5625

Ordered replacements from UHS. 
Both part were ~ $230

To remove the keypad:
Remove 1 philips above it 
Push hard up 
And then outwards.
Keypad uses a standard 9V battery",,Data base,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_TPDxWWrJheYhL_aCUzzWt6LK8O03FzjykWuKVsDJD36Zvdzzrwe8hQ==,https://lnk.sortly.co/v2/downloads/photo/v2_1fYkw6ZGXhDOi7sWwKck02OXz0xJmatQbmKa9wvD5RJBU7O4puBaig==,https://lnk.sortly.co/v2/downloads/photo/v2_BlescKIhOx28ET35EUgOlxrXZHsJCH6iI3wZwbLhDhppkxJzupINJA==,https://lnk.sortly.co/v2/downloads/photo/v2_YIsFf_M8kFZfIgFZ7fUt6TCcPXc6YjZ9m-gyUPYpk0ozYaw-xyv52A==,,,,,,
Nissan Altima 2013 p2s,Item,S0FDOT10290,,,,,,,,1.0,units,,,0.0,"Nissan Altima 2007-2012 uses p2s with FCC: KR55WK48903 ""old""
Nissan Altima 2013-2015 uses p2s with FCC:	KR5S180144014 ""new""

However, there is an exception -
2013 Nissan Altima COUPE uses old system same as 2012.
2013 Nissan Altima SEDAN uses new system same as 2014.
For 2013 altima we must check how many doors",,Data base,,,,,,,,,,,,,,
QMI Roll Up Door model,Item,S0FDOT8134,,,,,,,,1.0,units,,,0.0,"QMI Roll Up Door model 
1M-SPRING-6-5313
Regular mortise lock replacement",,Data base,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_KmnxozHSPur7s4UE4CzDi1FJvzPxe8JDUArT_TILQl4Y267w6mX3XQ==,https://lnk.sortly.co/v2/downloads/photo/v2_3YZjXgYiuyi2S-Q41hKDAYb2GPkndD2Gfo_2kc5ZoMvp5cYYojq4Tg==,https://lnk.sortly.co/v2/downloads/photo/v2_cwRS5JOWF2Oprr17D6oRB_VwToyQ7z-l6fUrZt_nmOz2z5ygiFxmyg==,,,,,,,
RV Trailer Lock Options,Item,S0FDOT9780,,,,,,,,1.0,units,,,0.0,"RV Trailer Locks options:
1. 
https://www.ebay.com/itm/313693176402

2. 
https://www.amazon.com/Travel-Trailer-Entry-Paddle-Deadbolt/dp/B0787DZDHT?pd_rd_w=emSGx&content-id=amzn1.sym.1a072a44-84d1-4c51-bf0f-3547594e8217&pf_rd_p=1a072a44-84d1-4c51-bf0f-3547594e8217&pf_rd_r=HZFMCDWGK3V028YZAVVF&pd_rd_wg=LTjwD&pd_rd_r=955b4b35-ed74-4354-83ed-4256c5e8c259&pd_rd_i=B0787DZDHT&psc=1&ref_=pd_bap_d_grid_rp_0_1_ec_i

3.
https://www.rvpartscenter.com/shop-by-categories/list1/rv-door-locks/trimark-model-030-0900-rv-entry-door-lock/tri-mark-exterior-paddle-lock-only-with-2-inch-deadbolt,-36283-01-detail

4.
https://www.amazon.com/gp/product/B00BIB04XI/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1",,Data base,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_JjiIS-l2PNB15Qjhha8PX20RwZSxs0L54RZIIDjjrfQC8itk2YS-4A==,,,,,,,,,
Troubleshooting for unsuccessful key programming,Item,S0FDOT8033,,,,,,,,1.0,units,,,0.0,"Troubleshooting for unsuccessful key programming 

1. Ask tech what kind of ""error message"" he gets or at what step he is stuck. 

2. Confirm YMM by VIN and verify that you are using the correct part. Maybe split year? 
 
3. Jumper cable connected? Is the car battery good? if not connected, connect and retry

4. If you have the option and it's doable, try a different key. (maybe defective part)

5. Double-check again DB and ensure you are trying to program a key that is possible to program with the current tool you are using. 

6. Have tech investigate if there could be anything unusual going on with the car, for example: when was used last time, auction car?, didn't use it for several years/months, replaced an electronic part like ECU, etc...

7. Notify Santi or Matt and ask for assistance. (When you do so, provide all the info you checked in the steps before)",,Data base,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_ku3cHMYRB0DHDiDJcJy9tzPyN5-mS67j1Fv4ye_MS4J2cw_4QfcelA==,,,,,,,,,
Acura Honda,Folder,S0FDOR0679,,,,,,,,,,,,,"",,Data base,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_i-zX-hzyWf9wjSlsBWF2zWU94Weq7UTOGu-k0dt7HFo_VEZ27Qzjzg==,,,,,,,,,
02-04 Honda CRV AKL Ho01 code on glovebox lock,Item,S0FDOT8435,,,,,,,,1.0,units,,,0.0,"2002 2003 2004 Honda CRV CR-V
HON66 test, Ho01 chip 
Code on glove box lock",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_-2MKT3uh4CYnbkR23EwsJviHt74XR1KhNhLJwjZqXrFxcG26btRagg==,,,,,,,,,
07-09 Honda CRV AKL,Item,S0FDOT6579,,,,,,,,1.0,units,,,0.0,"2007 2008 2009 Honda CRV
Code on glove box lock 
HON66 Ho03 chip key",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_KhJ9KvSu906pTF2aqR4F4kV5RPWkrg1ImHEKiX6ZAE-LUsZ2zQu_-g==,,,,,,,,,
18-19 Acura MDX AKL P2S IM100,Item,S0FDOT9019,,,,,,,,1.0,units,,,0.0,"2018 2019 Acura MDX AKL P2S 
Programmed aftermarket key with IM100",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Gw-c7VsVoDChpLjYOZ2b1rcGSOFx3OsZplIKh2ZsB_wrytZ1c_TSDA==,,,,,,,,,
1985 Honda 500 interceptor,Item,S0FDOT8412,,,,,,,,1.0,units,,,0.0,"1985 Honda 500 interceptor
Blank is HD75 / X138

Please note there is another key named HD74 / HD63 / X84 that looks similar but the grove is in the other side.",,Data base,Acura Honda,,,,,,,,,,,,,
1987 Honda Civic Hatchback HD90,Item,S0FDOT6054,,,,,,,,1.0,units,,,0.0,"1987 Honda Civic Hatchback 
HD90 = X181 
Code series 3001-4481
No codes from vin for that year
3 options to make this key
1. Code from passenger door lock (picture below) 
2. Code from trunk door lock a bit more complicated access (pictures below)
3. Decode whatever lock you removed and make a complete working key.",,Data base,Acura Honda,,,,,,,,,,,,,
1988 Honda Civic - Split Year,Item,S0FDOT3284,,,,,,,,1.0,units,,,0.0,"Older: HD90 / X181
Newer: HD103

No chip

Should be code on one of the locks, we couldn't find one easily on the trunk lock
As we had already disassembled it, we decoded and made a working key",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_T8_DGp4iRw7qO360p5sxpakvbSW4n2A5ONZhif77owNgtOX4UU3vfQ==,https://lnk.sortly.co/v2/downloads/photo/v2_22L6qV4AzOZfNxs6qMApOnzpQVsAMzsDhO7w585Iki_Q0HtIvCOqNA==,https://lnk.sortly.co/v2/downloads/photo/v2_JLcUXNIqrdgG3ePwBtwlTqZRVaiQvPA_8Lt497WZUpn8hX3XHHoPLA==,,,,,,,
1989 Honda Civic Code on trunk lock,Item,S0FDOT8629,,,,,,,,1.0,units,,,0.0,"1989 Honda Civic
Hd103 metal key
Code on trunk lock",,Data base,Acura Honda,,,,,,,,,,,,,
1991 Honda Accord - AKL Keyed,Item,S0FDOT7704,,,,,,,,1.0,units,,,0.0,"1991 Honda Accord - AKL Keyed
HD103 metal, HON58R lishi
Code on glovebox lock. See image.
Code series: 5001-8442
Make sure to have code by VIN as backup",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2__keCvWO_QaBmLBK0LSHkjXjGxUFNZAzu1jnFxxGE-v2CXN8lr3JMfA==,https://lnk.sortly.co/v2/downloads/photo/v2_mu5HNNwdAkxexupnl6Okke9w2jajG_AyFliM6jGv5GKeTrF50sEfrg==,,,,,,,,
1991 Honda Civic AKL Keyed SKDI,Item,S0FDOT6906,,,,,,,,1.0,units,,,0.0,"1991 Honda Civic AKL Keyed SKDI 
Hd103 metal key 
Code by vin",,Data base,Acura Honda,,,,,,,,,,,,,
1992 Honda VT1100 C Motorcycle AKL SKGI,Item,S0FDOT7405,,,,,,,,1.0,units,,,0.0,"1992 Honda VT1100 C Motorcycle AKL SKGI
1hfsc1817na601173
2 optional keys
X138 = HD75 or X84 = HD74
In our case it was X84

Pick and remove lock to find a code on it.
(see image)

B77 was the code in our case.
Cuts 1	 2	 2	 2	 3",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_cEKtn9rU34scVrBbc7r6O9lRaUpnzs6DkJ3VCp_T5Wg8HbHJGcZHwQ==,https://lnk.sortly.co/v2/downloads/photo/v2_mH5EbnHYLkSJ2Fd59qLR4vsRcFbUaY0Wj3sgfwhuSvqI3GTn2NmPqQ==,,,,,,,,
1994 Honda Civic HD103,Item,S0FDOT6479,,,,,,,,1.0,units,,,0.0,"1994 Honda Civic 
Metal key HD103 need to make sure same key doors an ignition since it is an old model
Code can be found on trunk release lock.",,Data base,Acura Honda,,,,,,,,,,,,,
1997 Honda Prelude Reflash,Item,S0FDOT8287,,,,,,,,1.0,units,,,0.0,"1997 Honda Prelude - Reflush. Reflash.
Done by reading 8 leg 93C46 with VVDI EEPROM clip.

Have HD103 shell ready..

Prog:
EEPROM
Microchip (*clip*)
93C46B clip 

VVDI2
Transponder Programmer 
Asia
Honda 
Civic 
1995-93C46B

Write super chip to slot #2",,Data base,Acura Honda,,,,,,,,,,,,,
1997 Honda Shadow (bike) AKL,Item,S0FDOT7879,,,,,,,,1.0,units,,,0.0,"1997 Honda Shadow (bike) AKL

HD74/HD75 accureader worked

Two possible keyways, make sure to bring both kind of blank

HD75 = X138 = hon31
HD74 = x84 = hon31R (groove reversed)

""X84 and X138 keyways"" on codes site for Honda

All locks 1-5 cuts, Jarred picked easily",,Data base,Acura Honda,,,,,,,,,,,,,
1998 1999 2000 2001 Honda Accord Ignition replacement / Rekey / Repair,Item,S0FDOT4748,,,,,,,,1.0,units,,,0.0,"1998 1999 2000 2001 Honda Accord Ignition replacement / Rekey / Repair 
Help video
https://www.youtube.com/watch?v=mpwY6y_75N8

HD103 is only RO maybe SE 
much more complicated",,Data base,Acura Honda,,,,,,,,,,,,,
1998 Honda Accord HD103 test,Item,S0FDOT4511,,,,,,,,1.0,units,,,0.0,"1998 Honda Accord
HD103 test 
HD106 chip 
Program with ck 
All keys lost
might have to try 2 times and make sure battery is 11+

Key code from the trunk lock 
Picture below
Was not even necessary to teka the lock apart",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_RmnYlnyHL7NLbNaS2Uil4FKJe2FtPiRg5ylL0pXaJ2DI7NwVdKrHJA==,,,,,,,,,
1998-2002 Honda Accord Remote FCC,Item,S0FDOT6429,,,,,,,,1.0,units,,,0.0,"1998-2002 Honda Accord
1998 Honda Accord
1999 Honda Accord
2000 Honda Accord
2001 Honda Accord
2002 Honda Accord

Remote FCC is KOBUTAH2T. Brand new aftermarket from TI didn’t work. 
Only OEM should work. They don’t get locked. You can get any OEM from eBay.",,Data base,Acura Honda,,,,,,,,,,,,,
